"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","분위기","장르 대분류","장르 대분류 영어","카테고리 / 키워드 명칭 (영문)","매칭 상세 설명 및 활용 팁","제목1","프롬프트1(속도 느림)","제목2","프롬프트2(속도 보통)","제목3","프롬프트3(속도 빠름)"
"","1","Exciting","록 / 서브컬처 스타일","01_Rock_and_Subculture_Styles","Punk","빠르고 직선적인 비트, 날것 그대로 거친 디스토션 기타 사운드가 특징인 고에너지 장르","Melancholic Rebel","raw punk rock style, crunchy overdriven guitars, slow steady heavy drum beat, gritty underground club vibe, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Raw Garage Anthem","classic garage punk vibe, raw unpolished energy, fast driving bassline, aggressive rhythm guitar, crunchy drums, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Riot","high-energy skate punk, lightning fast double-time drums, furious distorted guitar riffs, aggressive pacing, 180 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","2","Romantic","록 / 서브컬처 스타일","01_Rock_and_Subculture_Styles","Hard Rock","왜곡된 일렉트릭 기타와 강력한 드럼 연주가 돋보이는 에너제틱한 록 장르","Midnight Heavy Groove","classic hard rock ballad, heavy slow bluesy guitar riffs, deep thumping bass, spacious acoustic drums, soulful arena vibe, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Highway Overdrive","90s hard rock anthem, driving overdriven electric guitar riff, punchy snare drum, gritty bassline, high-octane energy, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Thunder Strike","modern high-energy hard rock, blistering guitar solo, fast aggressive drum fills, wall of sound, powerful explosive climax, 155 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","3","Dreamy","록 / 서브컬처 스타일","01_Rock_and_Subculture_Styles","Metal","록보다 더 헤비하고 강렬하며 폭발적인 사운드가 강조되는 장르","Doom Sludge Ambient","doom metal style, low-tuned heavy sludgy guitar drones, slow crushing drum hits, dark atmospheric pressure, ominous wall of sound, 60 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Thrash Core","thrash metal style, chugging distorted guitar riffs, driving double-bass kick drums, aggressive rhythm section, raw intense energy, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Speed Shredder","power speed metal, blistering lightning fast guitar sweeping, furious blast beats, epic technical orchestration, maximum energy, 190 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","4","Romantic","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Reggaeton","라틴에 힙합/댄스홀이 결합되어 중독성 있고 강한 루프성 드럼 바운스를 제공하는 장르","Slow Dembow Vibe","sensual slow reggaeton, deep sub bass, hypnotic lazy dembow drum loop, smooth atmospheric synth pads, romantic midnight mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Latino Hit","mainstream reggaeton style, punchy classic dembow riddim, energetic plucky synth lead, bouncy bassline, club dancefloor ready, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Bouncy Club","fast reggaeton pop fusion, upbeat energetic tempo, rapid crisp percussion, bright tropical plucks, high-voltage dance vibe, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","5","Calm","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Salsa","아프로-쿠반 리듬 기반으로 브라스와 피아노 몬투노가 어우러진 정열적인 댄스 음악","Romantic Salsa Lounge","smooth romantic salsa, gentle conga rhythm, soft piano montuno, soulful brass swell, elegant latino lounge atmosphere, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Calle Tropical","authentic urban salsa, vibrant syncopated piano chords, energetic brass section horn stabs, driving timbales, grooving bass, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Festa Fuego","high-tempo explosive salsa, furious percussion jam, blazing trumpet solos, rapid cowbell rhythms, maximum carnival dance energy, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","6","Upbeat","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Flamenco","스페인 남부의 정열적인 전통 음악으로 정교한 기타 주법과 손뼉 소리가 특징","Elegia Gitana","soulful sad flamenco, deep melancholic acoustic guitar picking, soft palmas (handclaps), traditional emotional acoustic resonance, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rumba de Sol","energetic flamenco rumba, fast rhythmic acoustic guitar strumming, crisp cajon percussion, lively handclaps, bright sunny Spanish vibe, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Fuego Andalucia","virtuoso rapid flamenco, lightning-fast guitar rasgueado, aggressive cajon beats, intense syncopated palmas, passionate dramatic tempo, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","7","Calm","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Bachata","도미니카 공화국 유래 장르로 애절한 멜로디와 어쿠스틱 기타 리듬이 로맨틱한 스타일","Midnight Romance","sensual slow bachata, clear weeping requinto guitar plucks, soft bongo drum rhythm, warm deep bass, intimate candle-lit mood, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Santo Domingo Groove","modern urban bachata, crisp bongo and guira percussion loop, smooth melodic guitar strumming, bouncy groove, mainstream radio ready, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Bachata Banger","upbeat fast bachata pop, energetic bright guitar plucking, fast syncopated percussion, lively dancefloor rhythm, tropical party vibe, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","8","Calm","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Samba (Latin)","브라질을 대표하는 장르로 화려한 퍼커션 리듬과 축제 분위기를 자아내는 강한 바운스","Copacabana Breeze","smooth bossa-samba blend, gentle nylon guitar chords, soft shaker, airy acoustic percussion, laid-back sunny beachside vibe, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Rio Carnival","authentic Brazilian samba, vibrant batucada drum section, grooving agogo bells, energetic cuica, uplifting carnival parade rhythm, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Batucada","furious high-tempo samba percussion, rapid explosive drum ensemble, non-stop infectious dancing groove, maximum festival energy, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","9","Groovy","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Cha Cha (Latin)","경쾌하고 규칙적인 스타카토 리듬이 특징인 라틴 댄스 음악 스타일","Elegant Ballroom","classic ballroom cha-cha-cha, crisp steady cowbell, staccato piano chords, soft brass section accents, refined retro lounge mood, 90 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tropical Step","modern latin cha-cha, punchy timbales, grooving bassline, bright brass stabs, catchy syncopated rhythm, sunny ballroom dance vibe, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Fiesta Bongo","fast energetic cha-cha, rapid percussion rolls, bright upbeat trumpet lines, driving staccato groove, high-tension dance party, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","10","Calm","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Latin","중남미 특유의 전통적인 그루브와 풍성한 퍼커션 사운드를 통칭하는 음악","Andean Mist","traditional acoustic latin folk, melancholic pan flute melody, soft charango strumming, gentle warm hand drum, earthy natural vibe, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Latino Summer Jam","generic vibrant latin pop, punchy acoustic guitar, grooving percussion layer, warm bass, sunny energetic commercial background, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Afro-Cuban Storm","fast afro-cuban jazz fusion, complex syncopated percussion solos, blazing brass horns, driving rhythmic piano montuno, intense energy, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
